ID,TARGET
1,1656.398972688356
2,1682.2729150003815
3,1543.626320383771
4,1715.3249149871544
5,3423.5137208946107
6,1573.4188723776008
7,2666.0643884944834
8,1608.0856728515648
9,2224.3654969911954
10,1860.067804789701
11,1879.7037863027306
12,1611.415368903328
13,1484.3891177696075
14,1908.4113962234692
15,1714.074283171661
16,1854.779470482122
17,1859.5725030934532
18,1587.481403466605
19,1378.4465169558946
20,1915.374043650072
21,1888.165105637263
22,1828.733556014324
23,1951.3100038983557
24,1660.6585106434497
25,1884.699910249667
26,2101.660159218682
27,1820.6479924323658
28,2638.9982632616543
29,1614.3514755854212
30,1344.3156065533956
31,2141.9194876050615
32,1682.6372147983548
33,1402.5683663510865
34,1548.4455329683105
35,1391.1820601577433
36,1519.9713272753195
37,1755.3806294377582
38,1797.4865171754811
39,2104.3509919566864
40,1893.9719236925298
41,1971.389455220662
42,2133.9437610061595
43,1917.8836534655902
44,1574.4442854863623
45,2120.1305428426085
46,2052.066795134388
47,1407.0515015147423
48,1512.1790354509842
49,1347.0243579905928
50,1349.8158890023137
51,1847.774946761564
52,2029.6642103698182
53,1667.1348418858217
54,2045.1159133791716
55,2096.4664528234202
56,1344.66239634582
57,1816.5780244779678
58,2003.125244728324
59,1345.7424926857636
60,1417.5768521137118
61,2475.47662851072
62,1682.3246640516531
63,1932.9924154952623
64,1419.2101456939358
65,1776.1720860676862
66,1828.7828845351369
67,1444.815137991968
68,1693.7732077760868
69,1633.5441803626652
70,2198.818126677515
71,1486.3400718530352
72,2089.902186813821
73,1746.5848395151224
74,1717.504256739804
75,2092.191236196504
76,2050.8222325641286
77,2038.7618043048556
78,1700.830915868416
79,2149.1202516355247
80,1592.4662921311644
81,1280.14319008129
82,1729.5628509773983
83,1423.1334480276687
84,1539.454422539201
85,1549.076074827462
86,2125.8360088599225
87,1657.285969159113
88,1371.9586374513938
89,2221.65697203724
90,1951.7790104096116
91,1591.6917026336575
92,1805.0916973488643
93,1494.7292122387232
94,1659.1966408837666
95,2320.0757697474355
96,1845.2107292115757
97,1582.698180922033
98,1747.7737954291765
99,2124.773952373438
100,1471.9954162123563
101,1873.7070338827739
102,1750.37212237967
103,1683.6090558032918
104,1696.7124056323905
105,2442.979245311033
106,2617.599563338796
107,1818.126806814515
108,1348.981793482243
109,1787.5677270587476
110,1473.1837750653822
